Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Nabarua, Nabire",C:\17\18.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Paniai, Papua, Indonesia",C:\17\19.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Sarmi, Papua, Indonesia",C:\17\20.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Fakfak Utara, Fakfak",C:\17\21.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Fakfak Selatan, Fakfak",C:\17\22.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Gewerpe, Fakfak",C:\17\23.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Fakfak, Papua, Indonesia",C:\17\24.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Lusi Peri, Fakfak",C:\17\25.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Kaimana, Papua, Indonesia",C:\17\26.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,Manokwari,C:\17\27.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Manokwari Timur, Manokwari",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Manokwari Barat, Manokwari",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Wosi, Manokwari",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Sanggeng, Manokwari",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,Kabupaten Sorong,C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Malawei, Sorong",C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Malaingkedi, Sorong",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Malabutor, Sorong",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Klawuyuk, Sorong",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Remu Selatan, Sorong",C:\17\10.jpg,,,,,20
