Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Bandung,C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Dago, West Java",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Bandung Satu, Jawa Barat, Indonesia",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Campaka, Andir, Bandung",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Ciroyom, Andir, Bandung",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Bekasi,C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Bekasi Jaya,C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Tambun Selatan, West Java",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Pengasinan, Bekasi Timur",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Marga Mulya, Bekasi Utara",C:\17\10.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Bogor, Indonesia",C:\17\11.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Ciparigi Bogor,C:\17\12.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Curug 2 Bogor,C:\17\13.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Pakuan, Bogor Selatan",C:\17\14.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Katulampa, Bogor Timur",C:\17\15.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Ciamis,C:\17\16.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Babakan Ciamis,C:\17\17.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cisadap, Ciamis",C:\17\18.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Linggasari, Ciamis",C:\17\19.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Ciamis, Jawa Barat, Indonesia",C:\17\20.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cianjur, Cianjur, Jawa Barat",C:\17\21.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Kabupaten Cianjur,C:\17\22.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cihea, Haurwangi, Cianjur",C:\17\23.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cikadu, Cikadu, Cianjur",C:\17\24.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Bojongkaso, Agrabinta, Cianjur",C:\17\25.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Cirebon,C:\17\26.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Drajat, Cirebon",C:\17\27.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Sumber, Cirebon",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Garut,C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Randu Garut,C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cimuncang, Garut",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Indramayu,C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Karawang,C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Kuningan,C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Kuningan, Kuningan",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cinere, Cinere, Depok, Jawa Barat",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",123,123,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Depok Satu, Jawa Barat, Indonesia",C:\17\10.jpg,,,,,20
