Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kalitengah, Jawa Timur, Indonesia",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kalitidu, Jawa Timur, Indonesia",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kampungbaru, Plandaan",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kandat, Jawa Timur, Indonesia",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kanigoro, Jawa Timur, Indonesia",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kanor, Jawa Timur, Indonesia",C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kapas, Jawa Timur, Indonesia",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kapasan, Simokerto",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Kapongan, Jawa Timur, Indonesia",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, pom mini baru, Pom Mini Kecil, Pom Mini Isi 2, pom mini toko madura",,"Karangbinangun, East Java",C:\17\10.jpg,,,,,20
