Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Bantaeng, Sulawesi Selatan, Indonesia",C:\17\1.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,Barru,C:\17\2.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Bone, Sulawesi Selatan, Indonesia",C:\17\3.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Bulukumba, Sulawesi Selatan, Indonesia",C:\17\4.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Enrekang, Sulawesi Selatan, Indonesia",C:\17\5.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Jeneponto, Sulawesi Selatan, Indonesia",C:\17\6.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Sorowako, Nuha, Luwu Timur",C:\17\7.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Maros, Sulawesi Selatan, Indonesia",C:\17\8.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Pinrang, Sulawesi Selatan, Indonesia",C:\17\9.jpg,,,,,20
"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",234,0,Peralatan,Baru,"pom mini toko madura, Pom Mini Murah, Pom Mini toko madura, Pom Mini Isi 2, Pom Mini Makassar",,"Sinjai, Sulawesi Selatan, Indonesia",C:\17\10.jpg,,,,,20
