Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Alalak Tengah, Banjarmasin Utara","Banjarmasin Utara","","Alalak Tengah, South Kalimantan · 5.891 orang pernah singgah di sini","Delete",
"2","Banjarmasin","Banjarmasin Selatan","","Kota","Delete",
"3","Antasan Besar, Banjarmasin Tengah, Banjarmasin","Banjarmasin Selatan","","Antasan Besar, South Kalimantan · 949 orang pernah singgah di sini","Delete",
"4","Antasan Besar, Banjarmasin Tengah, Banjarmasin","Banjarmasin Tengah","","Antasan Besar, South Kalimantan · 949 orang pernah singgah di sini","Delete",
"5","Pasar Lama, Banjarmasin Tengah","Banjarmasin Tengah","","Pasar Lama, South Kalimantan · 3.635 orang pernah singgah di sini","Delete",
"6","Sungai Baru, Banjarmasin Tengah","Banjarmasin Tengah","","Sungai Baru, South Kalimantan · 2.140 orang pernah singgah di sini","Delete",
"7","Alalak Tengah, Banjarmasin Utara","Banjarmasin Tengah","","Alalak Tengah, South Kalimantan · 5.891 orang pernah singgah di sini","Delete",
,,,,,,
