Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Baamang Hilir","Baamang","","Baamang Hilir, Central Kalimantan · 2.181 orang pernah singgah di sini","Delete",
"2","Cempaga","Cempaga","","Cempaga, Bali · 933 orang pernah singgah di sini","Delete",
"3","Kotabesi, Central Kalimantan","Kotabesi","","Kotabesi, Central Kalimantan · 18.954 orang pernah singgah di sini","Delete",
"4","Telawang","Telawang","","Telawang, South Kalimantan · 360 orang pernah singgah di sini","Delete",
"5","Mendawai, Arut Selatan","Mendawai","","Mendawai, Central Kalimantan · 864 orang pernah singgah di sini","Delete",
"6","Mendawai, Central Kalimantan","Mendawai","","Mendawai, Central Kalimantan · 10.708 orang pernah singgah di sini","Delete",
,,,,,,
