Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
8,"Liwa, Lampung, Indonesia",Liwa,Kota
12,"Kalianda, Lampung, Indonesia",Kalianda,Kota
28,Sukoharjo,Sukoharjo,Kota
30,"Terbanggi-Besar, Lampung, Indonesia",Terbanggi Besar,Kota
34,"Ketapang, Teluk Betung Selatan",Ketapang,"Ketapang, Lampung · 1.066 orang pernah singgah di sini"
45,"Kotabumi, Lampung, Indonesia",Kotabumi,Kota
46,"Tampaksiring, Tampaksiring, Gianyar",Tampaksiring,Kota
47,"Tegineneng, Lampung, Indonesia",Tegineneng,Kota
