Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Lahat, Sumatera Selatan, Indonesia",Lahat,Kota
Kota Lubuklinggau,Lubuklinggau,Kota
Kota Pagar Alam,Pagar Alam,Kota
Palembang,Palembang,Kota
Kota Prabumulih,Prabumulih,Kota
