Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
Lebak Gede,Lebak,"Lebak Gede, West Java · 1.618 orang pernah singgah di sini"
"Pandeglang, Jawa Barat, Indonesia",Pandeglang,Kota
Serang,Serang,Kota
Tangerang,Tangerang,Kota
Cilegon,cilegon,Kota
"Jaya, Tangerang Selatan 15411, Indonesia",tangerang selatan,"pinan jaya · Ciputat, Tangerang Selatan, Banten · 45.735 orang pernah singgah di sini"
