Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Fatufeto, Alak",Alak,"Fatufeto, East Nusa Tenggara · 14.838 orang pernah singgah di sini"
"Lasiana, Kelapa Lima",Kelapa Lima,"Lasiana, East Nusa Tenggara · 26.469 orang pernah singgah di sini"
"Bakunase, Kota Raja",Kota Raja,"Bakunase, East Nusa Tenggara · 25.910 orang pernah singgah di sini"
"Merdeka, Kota Lama",Kota Lama,"Merdeka, East Nusa Tenggara · 6.505 orang pernah singgah di sini"
"Oeba, Kota Lama",Kota Lama,"Oeba, East Nusa Tenggara · 10.350 orang pernah singgah di sini"
"Maulafa, Nusa Tenggara Timur, Indonesia",Maulafa,Kota
"Oetete, Oebobo",Oebobo,"Oetete, East Nusa Tenggara · 7.501 orang pernah singgah di sini"
